Character,Median_Win_Rate
AN,0.5455894318671325
AS,0.5175766814486327
AX,0.5295678544351782
BA,0.4932760817250979
BE,0.4605232996037594
BI,0.4368164741895088
CH,0.4628568217576984
EL,0.44022533990574725
FA,0.48826744814399137
GI,0.47052477806495113
GO,0.5614522941315354
HA,0.5048726212400245
IN,0.49420824518858675
JC,0.47342093067633506
JN,0.5290331552076919
KY,0.5330338151669054
LE,0.5166292593348296
MA,0.46746130248460294
MI,0.5213742820786188
NA,0.5408343278161158
PO,0.5365367213901867
RA,0.4417001480228378
SI,0.5092683922315567
SO,0.5555777777777777
TE,0.4121138184575818
ZA,0.4328086478285606
